Sample_Id	Participant_Id	Habitat [ENVO_01000739]	Region of 16S rRNA sequenced [SO_0001000]	Sample type [OBI_0100051]
SRS4060922.SRR8216103	SRS4060922.SRR8216103 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060923.SRR8216102	SRS4060923.SRR8216102 (Source)	Insect	V3-V4	Larvae internal
SRS4060924.SRR8216101	SRS4060924.SRR8216101 (Source)	Insect	V3-V4	Adult internal
SRS4060925.SRR8216100	SRS4060925.SRR8216100 (Source)	Insect	V3-V4	Adult cuticle
SRS4060926.SRR8216099	SRS4060926.SRR8216099 (Source)	Insect	V3-V4	Adult cuticle
SRS4060927.SRR8216098	SRS4060927.SRR8216098 (Source)	Insect	V3-V4	Adult cuticle
SRS4060928.SRR8216096	SRS4060928.SRR8216096 (Source)	Insect	V3-V4	Adult cuticle
SRS4060929.SRR8216097	SRS4060929.SRR8216097 (Source)	Insect	V3-V4	Adult cuticle
SRS4060930.SRR8216095	SRS4060930.SRR8216095 (Source)	Insect	V3-V4	Adult internal
SRS4060931.SRR8216094	SRS4060931.SRR8216094 (Source)	Insect	V3-V4	Adult internal
SRS4060932.SRR8216093	SRS4060932.SRR8216093 (Source)	Insect	V3-V4	Adult internal
SRS4060933.SRR8216092	SRS4060933.SRR8216092 (Source)	Insect	V3-V4	Adult cuticle
SRS4060934.SRR8216091	SRS4060934.SRR8216091 (Source)	Insect	V3-V4	Adult internal
SRS4060935.SRR8216090	SRS4060935.SRR8216090 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060936.SRR8216089	SRS4060936.SRR8216089 (Source)	Insect	V3-V4	Adult internal
SRS4060937.SRR8216088	SRS4060937.SRR8216088 (Source)	Insect	V3-V4	Adult internal
SRS4060938.SRR8216087	SRS4060938.SRR8216087 (Source)	Insect	V3-V4	Adult internal
SRS4060939.SRR8216086	SRS4060939.SRR8216086 (Source)	Insect	V3-V4	Adult cuticle
SRS4060940.SRR8216085	SRS4060940.SRR8216085 (Source)	Insect	V3-V4	Adult cuticle
SRS4060941.SRR8216084	SRS4060941.SRR8216084 (Source)	Insect	V3-V4	Adult cuticle
SRS4060942.SRR8216083	SRS4060942.SRR8216083 (Source)	Insect	V3-V4	Adult internal
SRS4060943.SRR8216082	SRS4060943.SRR8216082 (Source)	Insect	V3-V4	Adult internal
SRS4060944.SRR8216081	SRS4060944.SRR8216081 (Source)	Insect	V3-V4	Adult internal
SRS4060945.SRR8216080	SRS4060945.SRR8216080 (Source)	Insect	V3-V4	Adult cuticle
SRS4060946.SRR8216079	SRS4060946.SRR8216079 (Source)	Insect	V3-V4	Adult cuticle
SRS4060947.SRR8216078	SRS4060947.SRR8216078 (Source)	Insect	V3-V4	Adult cuticle
SRS4060948.SRR8216077	SRS4060948.SRR8216077 (Source)	Insect	V3-V4	Larvae internal
SRS4060949.SRR8216076	SRS4060949.SRR8216076 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060950.SRR8216075	SRS4060950.SRR8216075 (Source)	Insect	V3-V4	Larvae internal
SRS4060951.SRR8216074	SRS4060951.SRR8216074 (Source)	Insect	V3-V4	Larvae internal
SRS4060952.SRR8216073	SRS4060952.SRR8216073 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060953.SRR8216072	SRS4060953.SRR8216072 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060954.SRR8216071	SRS4060954.SRR8216071 (Source)	Insect	V3-V4	Larvae internal
SRS4060955.SRR8216070	SRS4060955.SRR8216070 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060956.SRR8216069	SRS4060956.SRR8216069 (Source)	Insect	V3-V4	Larvae internal
SRS4060957.SRR8216068	SRS4060957.SRR8216068 (Source)	Insect	V3-V4	Larvae internal
SRS4060958.SRR8216067	SRS4060958.SRR8216067 (Source)	Insect	V3-V4	Adult cuticle
SRS4060959.SRR8216066	SRS4060959.SRR8216066 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060960.SRR8216065	SRS4060960.SRR8216065 (Source)	Insect	V3-V4	Larvae cuticle
