Sample_Id	participant_repeated_measure_Id	Participant_Id	Host body habitat [UBERON_0000466]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Region of 16S rRNA sequenced [SO_0001000]	Sample collection device or method [OBI_0003070]	Sample type [OBI_0100051]
SRR7053365	ID6_125 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053366	ID6_128 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053367	ID6_127 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053368	ID6_73 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053369	ID6_26 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053370	ID6_25 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053371	ID6_28 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053372	ID6_27 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053373	ID6_22 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053374	ID6_21 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053375	ID6_24 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053376	ID6_23 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053377	ID6_30 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053378	ID6_29 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053379	ID6_74 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053380	ID6_59 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053381	ID6_60 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053382	ID6_66 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053383	ID6_159 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053384	ID6_160 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053385	ID6_155 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053386	ID6_156 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053387	ID6_157 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053388	ID6_158 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053389	ID6_151 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053390	ID6_152 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053391	ID6_153 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053392	ID6_154 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053393	ID6_37 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053394	ID6_38 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053395	ID6_35 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053396	ID6_36 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053397	ID6_33 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053398	ID6_34 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053399	ID6_31 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053400	ID6_32 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053401	ID6_39 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053402	ID6_40 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053403	ID6_53 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053404	ID6_54 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053405	ID6_150 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053406	ID6_149 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053407	ID6_144 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053408	ID6_143 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053409	ID6_142 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053410	ID6_141 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053411	ID6_148 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053412	ID6_147 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053413	ID6_146 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053414	ID6_145 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053415	ID6_44 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053416	ID6_43 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053417	ID6_42 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053418	ID6_41 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053419	ID6_48 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053420	ID6_47 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053421	ID6_46 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053422	ID6_45 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053423	ID6_50 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053424	ID6_49 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053425	ID6_177 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053426	ID6_178 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053427	ID6_175 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053428	ID6_176 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053429	ID6_173 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053430	ID6_174 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053431	ID6_171 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053432	ID6_172 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053433	ID6_55 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053434	ID6_56 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053435	ID6_57 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053436	ID6_58 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053437	ID6_51 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053438	ID6_52 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053439	ID6_179 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053440	ID6_180 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053441	ID6_9 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053442	ID6_10 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053443	ID6_5 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053444	ID6_6 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053445	ID6_7 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053446	ID6_8 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053447	ID6_1 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053448	ID6_2 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053449	ID6_3 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053450	ID6_4 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053451	ID6_65 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053452	ID6_166 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053453	ID6_165 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053454	ID6_168 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053455	ID6_167 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053456	ID6_162 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053457	ID6_161 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053458	ID6_164 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053459	ID6_163 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053460	ID6_62 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053461	ID6_61 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053462	ID6_64 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053463	ID6_63 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053464	ID6_170 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053465	ID6_169 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053466	ID6_68 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053467	ID6_67 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053468	ID6_79 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053469	ID6_80 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053470	ID6_111 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053471	ID6_112 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053472	ID6_113 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053473	ID6_114 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053474	ID6_115 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053475	ID6_116 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053476	ID6_117 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053477	ID6_118 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053478	ID6_119 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053479	ID6_120 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053480	ID6_71 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053481	ID6_72 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053482	ID6_77 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053483	ID6_78 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053484	ID6_75 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053485	ID6_76 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053486	ID6_110 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053487	ID6_109 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053488	ID6_108 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053489	ID6_107 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053490	ID6_106 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053491	ID6_105 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053492	ID6_104 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053493	ID6_103 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053494	ID6_102 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053495	ID6_101 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053496	ID6_88 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053497	ID6_87 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053498	ID6_86 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053499	ID6_85 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053500	ID6_84 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053501	ID6_83 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053502	ID6_82 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053503	ID6_81 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053504	ID6_90 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053505	ID6_89 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053506	ID6_70 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053507	ID6_69 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053508	ID6_191 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053509	ID6_192 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053510	ID6_193 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053511	ID6_194 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053512	ID6_195 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053513	ID6_196 (Source)	ID6 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053655	ID7_59 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053656	ID7_60 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053657	ID7_57 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053658	ID7_58 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053659	ID7_55 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053660	ID7_56 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053661	ID7_53 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053662	ID7_54 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053663	ID7_51 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053664	ID7_52 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053665	ID7_30 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053666	ID7_29 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053667	ID7_24 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053668	ID7_23 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053669	ID7_22 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053670	ID7_21 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053671	ID7_28 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053672	ID7_27 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053673	ID7_26 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053674	ID7_25 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053675	ID7_90 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053676	ID7_89 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053677	ID7_82 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053678	ID7_81 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053679	ID7_84 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053680	ID7_83 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053681	ID7_86 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053682	ID7_85 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053683	ID7_88 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053684	ID7_87 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053685	ID7_35 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053686	ID7_36 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053687	ID7_37 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053688	ID7_38 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053689	ID7_31 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053690	ID7_32 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053691	ID7_33 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053692	ID7_34 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053693	ID7_39 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053694	ID7_40 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053695	ID7_99 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053696	ID7_100 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053697	ID7_93 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053698	ID7_94 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053699	ID7_91 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053700	ID7_92 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053701	ID7_97 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053702	ID7_98 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053703	ID7_95 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053704	ID7_96 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053705	ID7_68 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053706	ID7_67 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053707	ID7_66 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053708	ID7_65 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053709	ID7_64 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053710	ID7_63 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053711	ID7_62 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053712	ID7_61 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053713	ID7_70 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053714	ID7_69 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053715	ID7_106 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053716	ID7_13 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053717	ID7_14 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053718	ID7_11 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053719	ID7_12 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053720	ID7_17 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053721	ID7_18 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053722	ID7_15 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053723	ID7_16 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053724	ID7_19 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053725	ID7_20 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053726	ID7_71 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053727	ID7_72 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053728	ID7_111 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053729	ID7_112 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053730	ID7_75 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053731	ID7_76 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053732	ID7_115 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053733	ID7_116 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053734	ID7_79 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053735	ID7_80 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053736	ID7_102 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053737	ID7_101 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053738	ID7_104 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053739	ID7_103 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053740	ID7_113 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053741	ID7_105 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053742	ID7_108 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053743	ID7_107 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053744	ID7_110 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053745	ID7_109 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053746	ID7_114 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053747	ID7_73 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053748	ID7_74 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053749	ID7_3 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053750	ID7_4 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053751	ID7_1 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053752	ID7_2 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053753	ID7_7 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053754	ID7_8 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053755	ID7_5 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053756	ID7_6 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7053757	ID7_77 (Source)	ID7 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
